product_name,baseProduct,product_price_currency,product_price_formatted,product_price_type,product_price_value,badges,categories,category_codes,option_code,option_productName,option_sellable,option_stock_status,option_price_value,color_name,color_value,size
"lululemon Align™ High-Rise Pant 25""",PROD2020012_LULU,SAR,SAR 480.00,BUY,480.0,,"The Winter Edit, Seasonal, Align™ Collection, Yoga Clothes for Women, Winter Edit, Summer Shop, Cyber Monday, The Spring Edit, mss, Fall Edit, Women's Pants, Root Lululemon, Women's Collections, Women's Leggings, Women's Collections, Womens, The Winter Drop, Sports Clothing for Women, Travel Edit, Women's On the Move","winter-gifts, edits, the-align-collection, women-activity-yoga, winter-treats, summer-shop, cyber-monday, the-spring-edit, mss, the-fall-edit, womens-bottoms, root-0, women-guides, womens-leggings, womens-collections, women, the-winter-drop, womens-activity, travel-edit, women-activity-on-the-move",UPV0852573,"lululemon Align™ High-Rise Pant 25""",True,inStock,335.0,DARK OLIVE,color-dark-olive,10
"lululemon Align™ High-Rise Pant 25""",PROD2020012_LULU,SAR,SAR 480.00,BUY,480.0,,"The Winter Edit, Seasonal, Align™ Collection, Yoga Clothes for Women, Winter Edit, Summer Shop, Cyber Monday, The Spring Edit, mss, Fall Edit, Women's Pants, Root Lululemon, Women's Collections, Women's Leggings, Women's Collections, Womens, The Winter Drop, Sports Clothing for Women, Travel Edit, Women's On the Move","winter-gifts, edits, the-align-collection, women-activity-yoga, winter-treats, summer-shop, cyber-monday, the-spring-edit, mss, the-fall-edit, womens-bottoms, root-0, women-guides, womens-leggings, womens-collections, women, the-winter-drop, womens-activity, travel-edit, women-activity-on-the-move",UPV1077824,"lululemon Align™ High-Rise Pant 25""",True,inStock,480.0,TRUE NAVY,color-true-navy,20
"lululemon Align™ High-Rise Pant 25""",PROD2020012_LULU,SAR,SAR 480.00,BUY,480.0,,"The Winter Edit, Seasonal, Align™ Collection, Yoga Clothes for Women, Winter Edit, Summer Shop, Cyber Monday, The Spring Edit, mss, Fall Edit, Women's Pants, Root Lululemon, Women's Collections, Women's Leggings, Women's Collections, Womens, The Winter Drop, Sports Clothing for Women, Travel Edit, Women's On the Move","winter-gifts, edits, the-align-collection, women-activity-yoga, winter-treats, summer-shop, cyber-monday, the-spring-edit, mss, the-fall-edit, womens-bottoms, root-0, women-guides, womens-leggings, womens-collections, women, the-winter-drop, womens-activity, travel-edit, women-activity-on-the-move",FUA0065252D,"lululemon Align™ High-Rise Pant 25""",True,lowStock,335.0,CRATER BLUE,color-crater-blue,6
"lululemon Align™ High-Rise Pant 25""",PROD2020012_LULU,SAR,SAR 480.00,BUY,480.0,,"The Winter Edit, Seasonal, Align™ Collection, Yoga Clothes for Women, Winter Edit, Summer Shop, Cyber Monday, The Spring Edit, mss, Fall Edit, Women's Pants, Root Lululemon, Women's Collections, Women's Leggings, Women's Collections, Womens, The Winter Drop, Sports Clothing for Women, Travel Edit, Women's On the Move","winter-gifts, edits, the-align-collection, women-activity-yoga, winter-treats, summer-shop, cyber-monday, the-spring-edit, mss, the-fall-edit, womens-bottoms, root-0, women-guides, womens-leggings, womens-collections, women, the-winter-drop, womens-activity, travel-edit, women-activity-on-the-move",FUA0063465D,"lululemon Align™ High-Rise Pant 25""",True,lowStock,335.0,RAINFOREST GREEN,color-rainforest-green,2
"lululemon Align™ High-Rise Pant 25""",PROD2020012_LULU,SAR,SAR 480.00,BUY,480.0,,"The Winter Edit, Seasonal, Align™ Collection, Yoga Clothes for Women, Winter Edit, Summer Shop, Cyber Monday, The Spring Edit, mss, Fall Edit, Women's Pants, Root Lululemon, Women's Collections, Women's Leggings, Women's Collections, Womens, The Winter Drop, Sports Clothing for Women, Travel Edit, Women's On the Move","winter-gifts, edits, the-align-collection, women-activity-yoga, winter-treats, summer-shop, cyber-monday, the-spring-edit, mss, the-fall-edit, womens-bottoms, root-0, women-guides, womens-leggings, womens-collections, women, the-winter-drop, womens-activity, travel-edit, women-activity-on-the-move",FUA0099757D,"lululemon Align™ High-Rise Pant 25""",True,lowStock,335.0,RACEWAY GREEN,color-raceway-green,4
"lululemon Align™ High-Rise Pant 25""",PROD2020012_LULU,SAR,SAR 480.00,BUY,480.0,,"The Winter Edit, Seasonal, Align™ Collection, Yoga Clothes for Women, Winter Edit, Summer Shop, Cyber Monday, The Spring Edit, mss, Fall Edit, Women's Pants, Root Lululemon, Women's Collections, Women's Leggings, Women's Collections, Womens, The Winter Drop, Sports Clothing for Women, Travel Edit, Women's On the Move","winter-gifts, edits, the-align-collection, women-activity-yoga, winter-treats, summer-shop, cyber-monday, the-spring-edit, mss, the-fall-edit, womens-bottoms, root-0, women-guides, womens-leggings, womens-collections, women, the-winter-drop, womens-activity, travel-edit, women-activity-on-the-move",FUA0103844D,"lululemon Align™ High-Rise Pant 25""",True,lowStock,480.0,ESPRESSO,Color-Espresso,10
"lululemon Align™ High-Rise Pant 25""",PROD2020012_LULU,SAR,SAR 480.00,BUY,480.0,,"The Winter Edit, Seasonal, Align™ Collection, Yoga Clothes for Women, Winter Edit, Summer Shop, Cyber Monday, The Spring Edit, mss, Fall Edit, Women's Pants, Root Lululemon, Women's Collections, Women's Leggings, Women's Collections, Womens, The Winter Drop, Sports Clothing for Women, Travel Edit, Women's On the Move","winter-gifts, edits, the-align-collection, women-activity-yoga, winter-treats, summer-shop, cyber-monday, the-spring-edit, mss, the-fall-edit, womens-bottoms, root-0, women-guides, womens-leggings, womens-collections, women, the-winter-drop, womens-activity, travel-edit, women-activity-on-the-move",FUA0109552D,"lululemon Align™ High-Rise Pant 25""",True,lowStock,480.0,RED CLAY,color-red-clay,10
"lululemon Align™ High-Rise Pant 25""",PROD2020012_LULU,SAR,SAR 480.00,BUY,480.0,,"The Winter Edit, Seasonal, Align™ Collection, Yoga Clothes for Women, Winter Edit, Summer Shop, Cyber Monday, The Spring Edit, mss, Fall Edit, Women's Pants, Root Lululemon, Women's Collections, Women's Leggings, Women's Collections, Womens, The Winter Drop, Sports Clothing for Women, Travel Edit, Women's On the Move","winter-gifts, edits, the-align-collection, women-activity-yoga, winter-treats, summer-shop, cyber-monday, the-spring-edit, mss, the-fall-edit, womens-bottoms, root-0, women-guides, womens-leggings, womens-collections, women, the-winter-drop, womens-activity, travel-edit, women-activity-on-the-move",FUA0102814D,"lululemon Align™ High-Rise Pant 25""",True,lowStock,480.0,PALM DECO,color-palm-deco,10
Another Mile Jacket,PROD9490277_LULU,SAR,"SAR 1,110.00",BUY,1110.0,New,"New in, Women's Jackets, Root Lululemon, Womens, Cyber Monday, The Winter Drop, Sports Clothing for Women, Running Clothes for Women","new, womens-coats-and-jackets, root-0, women, cyber-monday, the-winter-drop, womens-activity, women-activity-running",UPV0974512,Another Mile Jacket,True,lowStock,1110.0,BLACK,Color-Black,10
Another Mile Jacket,PROD9490277_LULU,SAR,"SAR 1,110.00",BUY,1110.0,New,"New in, Women's Jackets, Root Lululemon, Womens, Cyber Monday, The Winter Drop, Sports Clothing for Women, Running Clothes for Women","new, womens-coats-and-jackets, root-0, women, cyber-monday, the-winter-drop, womens-activity, women-activity-running",UPV0974523,Another Mile Jacket,True,lowStock,1110.0,WHITE,Color-White,10
