product_name,baseProduct,product_price_currency,product_price_formatted,product_price_type,product_price_value,badges,categories,category_codes,option_code,option_productName,option_sellable,option_stock_status,option_price_value,color_name,color_value,size
Lil Midi Dress,W247DC_ALLS,AED,AED 820.00,BUY,820.0,BESTSELLER,"Midi Dresses, Bestseller, Dresses, Clothing, Women","women-dresses-midi-dresses, women-bestseller, women-dresses, women-clothing, women",FUA0096786D,Lil Midi Dress,True,lowStock,820.0,,BLACK,UK 12/US 8
Kylo Short Sleeve Shirt,M158SC_ALLS,AED,AED 690.00,BUY,690.0,BESTSELLER,"Bestseller, Shirts, Formal, Men, Clothing","men-bestseller, men-shirts, men-shirts-formal-shirts, men, men-clothing",FUA0096704D,Kylo Short Sleeve Shirt,True,lowStock,690.0,,KELP GREEN,S
IZZY SPRAY E/W TOTE,W399XC_ALLS,AED,AED 620.00,BUY,620.0,BESTSELLER,"Bestseller, Handbags, Clothing, Women, Accessories","women-bestseller, women-handbags, women-clothing, women, women-accessories",FUA0099681D,IZZY SPRAY E/W TOTE,True,lowStock,620.0,,WHITE,ONE SIZE
IZZY SPRAY E/W TOTE,W399XC_ALLS,AED,AED 620.00,BUY,620.0,BESTSELLER,"Bestseller, Handbags, Clothing, Women, Accessories","women-bestseller, women-handbags, women-clothing, women, women-accessories",FUA0099680D,IZZY SPRAY E/W TOTE,True,inStock,620.0,,BLACK,ONE SIZE
Honor V-Neck Cardigan,W002KD_ALLS,AED,AED 860.00,BUY,860.0,BESTSELLER,"Bestseller, Cardigans, Knitwear, Clothing, Women","women-bestseller, women-knitwear-cardigans, women-knitwear, women-clothing, women",FUA0099624D,Honor V-Neck Cardigan,True,inStock,860.0,,BLACK,S
Honor V-Neck Cardigan,W002KD_ALLS,AED,AED 860.00,BUY,860.0,BESTSELLER,"Bestseller, Cardigans, Knitwear, Clothing, Women","women-bestseller, women-knitwear-cardigans, women-knitwear, women-clothing, women",FUA0099626D,Honor V-Neck Cardigan,True,lowStock,860.0,,BLACK,L
Honor V-Neck Cardigan,W002KD_ALLS,AED,AED 860.00,BUY,860.0,BESTSELLER,"Bestseller, Cardigans, Knitwear, Clothing, Women","women-bestseller, women-knitwear-cardigans, women-knitwear, women-clothing, women",FUA0099628D,Honor V-Neck Cardigan,True,inStock,860.0,,Chalk White,S
Honor V-Neck Cardigan,W002KD_ALLS,AED,AED 860.00,BUY,860.0,BESTSELLER,"Bestseller, Cardigans, Knitwear, Clothing, Women","women-bestseller, women-knitwear-cardigans, women-knitwear, women-clothing, women",FUA0099629D,Honor V-Neck Cardigan,True,lowStock,860.0,,Chalk White,M
Cove Crayon Graphic Oversized T-Shirt,M061PC_ALLS,AED,AED 355.00,BUY,355.0,BESTSELLER,"Bestseller, T-Shirts, Men, Clothing, Men's Graphic T-Shirts","men-bestseller, men-t-shirts, men, men-clothing, men-t-shirts-graphic-t-shirts",FUA0100501D,Cove Crayon Graphic Oversized T-Shirt,True,inStock,355.0,,WASHED BLACK,S
Cove Crayon Graphic Oversized T-Shirt,M061PC_ALLS,AED,AED 355.00,BUY,355.0,BESTSELLER,"Bestseller, T-Shirts, Men, Clothing, Men's Graphic T-Shirts","men-bestseller, men-t-shirts, men, men-clothing, men-t-shirts-graphic-t-shirts",FUA0100502D,Cove Crayon Graphic Oversized T-Shirt,True,inStock,355.0,,WASHED BLACK,M
Cove Crayon Graphic Oversized T-Shirt,M061PC_ALLS,AED,AED 355.00,BUY,355.0,BESTSELLER,"Bestseller, T-Shirts, Men, Clothing, Men's Graphic T-Shirts","men-bestseller, men-t-shirts, men, men-clothing, men-t-shirts-graphic-t-shirts",FUA0100503D,Cove Crayon Graphic Oversized T-Shirt,True,inStock,355.0,,WASHED BLACK,L
Cove Crayon Graphic Oversized T-Shirt,M061PC_ALLS,AED,AED 355.00,BUY,355.0,BESTSELLER,"Bestseller, T-Shirts, Men, Clothing, Men's Graphic T-Shirts","men-bestseller, men-t-shirts, men, men-clothing, men-t-shirts-graphic-t-shirts",FUA0100504D,Cove Crayon Graphic Oversized T-Shirt,True,inStock,355.0,,WASHED BLACK,XL
Cove Crayon Graphic Oversized T-Shirt,M061PC_ALLS,AED,AED 355.00,BUY,355.0,BESTSELLER,"Bestseller, T-Shirts, Men, Clothing, Men's Graphic T-Shirts","men-bestseller, men-t-shirts, men, men-clothing, men-t-shirts-graphic-t-shirts",FUA0100505D,Cove Crayon Graphic Oversized T-Shirt,True,lowStock,355.0,,WASHED BLACK,XXL
Party Wave Oversized T-Shirt,M062PC_ALLS,AED,AED 355.00,BUY,355.0,BESTSELLER,"Bestseller, T-Shirts, Men, Clothing, Men's Graphic T-Shirts","men-bestseller, men-t-shirts, men, men-clothing, men-t-shirts-graphic-t-shirts",FUA0100512D,Party Wave Oversized T-Shirt,True,inStock,355.0,,Chalk White,XS
Party Wave Oversized T-Shirt,M062PC_ALLS,AED,AED 355.00,BUY,355.0,BESTSELLER,"Bestseller, T-Shirts, Men, Clothing, Men's Graphic T-Shirts","men-bestseller, men-t-shirts, men, men-clothing, men-t-shirts-graphic-t-shirts",FUA0100513D,Party Wave Oversized T-Shirt,True,inStock,355.0,,Chalk White,S
Party Wave Oversized T-Shirt,M062PC_ALLS,AED,AED 355.00,BUY,355.0,BESTSELLER,"Bestseller, T-Shirts, Men, Clothing, Men's Graphic T-Shirts","men-bestseller, men-t-shirts, men, men-clothing, men-t-shirts-graphic-t-shirts",FUA0100515D,Party Wave Oversized T-Shirt,True,inStock,355.0,,Chalk White,L
Party Wave Oversized T-Shirt,M062PC_ALLS,AED,AED 355.00,BUY,355.0,BESTSELLER,"Bestseller, T-Shirts, Men, Clothing, Men's Graphic T-Shirts","men-bestseller, men-t-shirts, men, men-clothing, men-t-shirts-graphic-t-shirts",FUA0100516D,Party Wave Oversized T-Shirt,True,lowStock,355.0,,Chalk White,XL
Isla Printed Shorts,W035TC_ALLS,AED,AED 510.00,BUY,510.0,BESTSELLER,"Shorts, Bestseller, Skirts & Shorts, Clothing, Women","women-skirts-and-shorts-shorts, women-bestseller, women-skirts-and-shorts, women-clothing, women",FUA0099648D,Isla Printed Shorts,True,lowStock,510.0,,LITA DENIM BLUE,UK 12/US 8
Rina Crew Neck Sleeveless Tank Top,W235JB_ALLS,AED,AED 150.00,BUY,150.0,,"Prints Edit , Women Workwear, Tops & Shirts, Tops, Clothing, Women","prints-edit-women, women-workwear, women-tops-and-shirts, women-tops, women-clothing, women",FUA0060676D,Rina Crew Neck Sleeveless Tank Top,True,inStock,150.0,,BLACK,S
